"site","year","damaged","sdno"
"BR",2008,0,30
"BR",2008,0,30
"BR",2008,0,32
"BR",2008,0,33
"BR",2008,0,34
"BR",2008,0,34
"BR",2008,0,37
"BR",2008,0,37
"BR",2008,0,38
"BR",2008,0,44
"CF",2008,0,0
"CF",2008,0,0
"CF",2008,0,6
"CF",2008,0,7
"CF",2008,0,12
"CF",2008,0,13
"CF",2008,0,14
"CF",2008,0,17
"CF",2008,0,17
"CF",2008,0,17
"CF",2008,0,19
"CF",2008,0,21
"CF",2008,0,21
"CF",2008,0,22
"CF",2008,0,22
"CF",2008,0,23
"CF",2008,0,25
"CF",2008,0,26
"CF",2008,0,27
"CF",2008,0,28
"CF",2008,0,29
"CF",2008,0,30
"CF",2008,0,32
"CF",2008,0,33
"CF",2008,0,34
"CF",2008,0,35
"CF",2008,0,37
"CF",2008,0,38
"CF",2008,0,38
"CF",2008,0,53
"CP3",2008,0,0
"CP3",2008,0,0
"CP3",2008,0,0
"CP3",2008,0,0
