"site","bagNo","round","age","block","germStart","germCount","viabStart","viabStain"
"FR",15,1,1,5,15,2,10,9
"FR",15,1,1,16,15,10,5,4
"FR",27,1,1,8,15,7,8,8
"FR",27,1,1,10,15,8,8,1
"FR",28,1,1,6,15,1,8,5
"FR",28,1,1,12,15,4,11,10
"FR",29,1,1,2,15,6,9,9
"FR",30,1,1,3,15,1,10,2
"FR",30,1,1,15,15,3,10,3
"GCN",1,1,1,10,3,1,2,2
"GCN",3,1,1,4,13,0,10,5
"GCN",3,1,1,15,9,2,7,6
"GCN",4,1,1,1,15,2,10,8
"GCN",4,1,1,11,9,3,6,1
"GCN",8,1,1,8,8,2,6,5
"GCN",13,1,1,6,7,1,6,5
"GCN",20,1,1,5,15,2,9,9
"GCN",20,1,1,9,6,1,5,4
"GCN",20,1,1,14,4,2,2,1
"GCN",23,1,1,2,15,3,10,7
"GCN",23,1,1,12,12,4,7,6
"GCN",27,1,1,3,15,13,2,2
"GCN",29,1,1,7,15,1,14,2
"GCN",29,1,1,13,8,1,7,1
"KYE",1,1,1,8,15,2,13,12
"KYE",3,1,1,1,15,5,10,8
"KYE",3,1,1,13,15,10,6,5
"KYE",5,1,1,5,15,4,10,9
"KYE",5,1,1,11,15,11,4,4
"KYE",8,1,1,2,15,8,7,3
"KYE",8,1,1,14,15,5,10,7
"KYE",12,1,1,10,8,1,7,2
"KYE",15,1,1,4,15,5,10,7
"KYE",15,1,1,16,15,5,10,7
"KYE",19,1,1,9,15,6,9,9
"KYE",20,1,1,3,15,1,10,10
"KYE",20,1,1,15,15,0,10,9
"KYE",26,1,1,6,15,1,10,10
"KYE",26,1,1,12,15,10,5,3
"KYE",27,1,1,7,8,0,8,8
"LCE",3,1,1,1,15,4,10,9
"LCE",3,1,1,10,10,2,8,2
"LCE",6,1,1,4,15,2,10,9
"LCE",6,1,1,14,15,3,10,10
"LCE",7,1,1,9,15,1,12,10
"LCE",7,1,1,15,15,2,10,3
"LCE",8,1,1,2,2,1,1,0
"LCE",9,1,1,11,12,0,12,1
"LCE",12,1,1,7,15,3,12,8
"LCE",12,1,1,12,15,6,9,7
"LCE",14,1,1,3,5,3,2,1
"LCE",15,1,1,8,15,6,9,9
"LCE",15,1,1,13,15,3,10,7
"LCE",15,1,1,16,15,2,10,8
"LCE",19,1,1,5,10,0,10,2
"LCE",24,1,1,6,7,0,7,1
"LCW",1,1,1,7,15,7,8,6
"LCW",5,1,1,8,13,4,9,8
"LCW",6,1,1,4,15,3,10,8
"LCW",6,1,1,12,15,10,5,1
"LCW",8,1,1,6,15,2,10,10
"LCW",14,1,1,1,7,2,5,5
"LCW",14,1,1,14,3,0,4,0
"LCW",15,1,1,2,15,8,7,4
"LCW",17,1,1,9,15,7,8,7
"LCW",17,1,1,16,15,12,3,3
"LCW",26,1,1,5,15,5,10,7
"LCW",26,1,1,15,1,0,1,0
"LCW",27,1,1,10,15,12,4,2
"LCW",27,1,1,13,15,15,0,NA
"LCW",28,1,1,3,15,7,8,4
"LCW",28,1,1,11,9,3,6,1
"LO",2,1,1,1,15,2,10,10
"LO",2,1,1,14,15,4,10,9
"LO",3,1,1,2,15,7,8,8
"LO",5,1,1,4,15,9,6,5
"LO",6,1,1,9,15,4,11,10
"LO",8,1,1,7,15,11,4,3
"LO",8,1,1,16,1,0,NA,NA
"LO",9,1,1,5,15,5,10,9
"LO",9,1,1,13,15,9,6,6
"LO",12,1,1,10,15,7,8,4
"LO",12,1,1,12,15,5,10,8
"LO",14,1,1,6,15,0,10,2
"LO",17,1,1,8,15,6,9,8
"LO",22,1,1,3,15,3,10,9
"LO",22,1,1,15,15,2,10,8
"MC",3,1,1,7,14,3,7,0
"MC",4,1,1,1,15,8,7,7
"MC",4,1,1,13,15,4,10,8
"MC",5,1,1,3,15,4,10,10
"MC",5,1,1,15,15,1,10,9
"MC",7,1,1,8,15,6,9,9
"MC",7,1,1,11,15,14,1,1
"MC",13,1,1,9,15,8,7,6
"MC",13,1,1,16,12,6,5,4
"MC",15,1,1,2,15,6,9,9
"MC",15,1,1,14,15,8,6,5
"MC",17,1,1,4,15,3,10,9
"MC",28,1,1,10,4,3,2,0
"MC",29,1,1,6,15,3,10,8
"MC",30,1,1,5,15,5,10,10
"MC",30,1,1,12,4,1,3,3
"OKRE",1,1,1,9,15,2,12,12
"OKRE",5,1,1,1,15,5,10,8
"OKRE",6,1,1,8,15,10,5,5
"OKRE",6,1,1,13,15,10,5,5
"OKRE",9,1,1,4,15,2,10,8
"OKRE",9,1,1,11,14,7,7,7
"OKRE",10,1,1,7,15,3,12,11
"OKRE",10,1,1,14,15,8,7,6
"OKRE",11,1,1,3,15,4,10,10
